transactionId,itemIndex,name,category,qty,price,lineTotal
txn_roczyqinm9rorthkhunrrn,0,Estacionamiento Horas,Service,1,4220,4220
txn_3per50dbdparnubuyzttsc,0,Lavado Auto,Service,1,7400,7400
txn_3per50dbdparnubuyzttsc,1,Agua Botella,Beverages,1,1260,1260
txn_3per50dbdparnubuyzttsc,2,Bencina 95 Litros,Automotive,34,1240,42160
txn_htomfqiil8rlyvosxke1a,0,Cerveza Pack 6,Alcohol,1,8410,8410
txn_htomfqiil8rlyvosxke1a,1,Leche Entera 1L,Dairy & Eggs,1,1390,1390
txn_htomfqiil8rlyvosxke1a,2,Vino Tinto 750ml,Alcohol,2,11160,22320
txn_dtplc9tmu7am41sis4ibuf,0,Pollo Trutro Kg,Meat & Seafood,3,3000,9000
txn_dtplc9tmu7am41sis4ibuf,1,Leche Descremada 1L,Dairy & Eggs,2,1500,3000
txn_dtplc9tmu7am41sis4ibuf,2,Cebolla Kg,Produce,2,1040,2080
txn_dtplc9tmu7am41sis4ibuf,3,Reineta Filete Kg,Meat & Seafood,1,9710,9710
txn_dtplc9tmu7am41sis4ibuf,4,Lavaloza 750ml,Cleaning Supplies,2,2360,4720
txn_dtplc9tmu7am41sis4ibuf,5,Pan de Molde Blanco,Bakery,1,2030,2030
txn_dtplc9tmu7am41sis4ibuf,6,Huevos 30u,Dairy & Eggs,2,7350,14700
txn_hsc8twb5hflzdcdvpur1u,0,Pimentón Kg,Produce,3,2360,7080
txn_hsc8twb5hflzdcdvpur1u,1,Legumbres 1Kg,Pantry,3,2060,6180
txn_hsc8twb5hflzdcdvpur1u,2,Costillar Cerdo Kg,Meat & Seafood,3,4940,14820
txn_qdfc985s1bfd9fnumj43w8,0,Plan Premium,Service,1,12990,12990
txn_vfyjr2wzovnve4fgmhh8lc,0,Gas Natural Mes,Service,2,22950,45900
txn_lsaafs9gyuot9vu0pnycrb,0,Pizza Mediana Pepperoni,Pantry,2,11070,22140
txn_lsaafs9gyuot9vu0pnycrb,1,Palitos de Ajo,Pantry,2,5960,11920
txn_a6s1v97p1gnsm5f10nmwua,0,Cappuccino Grande,Beverages,2,3950,7900
txn_fp15p04m4kluipck1z3ugi,0,Jeans,Clothing,2,47210,94420
txn_j6twsxm2uybewoly36b1v,0,Aceite Motor,Automotive,1,14920,14920
txn_80370otce2irmhefooz77k,0,Viaje Cabify,Service,1,13750,13750
txn_46sdlx0nt2jxqykj6o5x7g,0,Huevos Campo 30u,Dairy & Eggs,1,6630,6630
txn_62dfnynlfa5d9lp3ygbele,0,Flores Ramo,Other,2,4140,8280
txn_62dfnynlfa5d9lp3ygbele,1,Pescado Fresco Kg,Meat & Seafood,2,7400,14800
txn_6234bjmlvsotmjyajxjf0a,0,Choclo Unidad,Produce,1,960,960
txn_6234bjmlvsotmjyajxjf0a,1,Esponja Pack 3,Cleaning Supplies,2,1350,2700
txn_6234bjmlvsotmjyajxjf0a,2,Leche Semidescremada 1L,Dairy & Eggs,3,1630,4890
txn_6234bjmlvsotmjyajxjf0a,3,Crema 200ml,Dairy & Eggs,2,1790,3580
txn_6234bjmlvsotmjyajxjf0a,4,Cloro 1L,Cleaning Supplies,3,1400,4200
txn_6234bjmlvsotmjyajxjf0a,5,Azúcar 1Kg,Pantry,1,1550,1550
txn_6234bjmlvsotmjyajxjf0a,6,Sal 1Kg,Pantry,3,730,2190
txn_6234bjmlvsotmjyajxjf0a,7,Queso Chanco 200g,Dairy & Eggs,3,2650,7950
